wave_nm,abs
200,8.00E+00
250,3.00E+00
300,1.50E+00
350,3.00E-01
400,1.00E-01
450,2.00E-02
500,2.50E-02
550,3.50E-02
600,1.50E-01
650,2.50E-01
700,6.00E-01
750,2.50E+00
760,2.60E+00
800,2.10E+00
806,2.00E+00
850,4.10E+00
900,6.70E+00
950,3.65E+01
970,4.60E+01
1000,3.55E+01
1050,1.31E+01
1060,1.28E+01
1100,1.90E+01
1150,8.00E+01
1190,1.05E+02
1200,1.02E+02
1250,8.90E+01
1258,8.80E+01
1300,1.08E+02
1350,2.70E+02
1400,1.30E+03
1450,2.60E+03
1500,1.73E+03
1550,9.60E+02
1600,6.20E+02
1650,5.10E+02
1660,5.00E+02
1700,5.15E+02
1750,6.40E+02
1800,8.00E+02
1850,9.50E+02
1900,8.05E+03
1940,1.14E+04
1950,1.10E+04
2000,6.80E+03
2050,4.10E+03
2100,2.60E+03
2150,1.90E+03
2200,1.60E+03
2210,1.55E+03
2250,1.70E+03
2300,2.30E+03
2350,3.00E+03
2400,4.20E+03
2450,6.10E+03
2500,8.30E+03
2550,9.70E+03
2600,9.90E+03
2625,1.09E+04
2650,1.31E+04
2700,2.35E+04
2750,1.10E+05
2800,4.21E+05
2900,1.06E+06
2950,1.17E+06
3000,1.09E+06
3100,7.43E+05
3200,3.70E+05
3300,1.65E+05
3400,6.98E+04
3500,3.34E+04
3600,1.98E+04
3750,1.19E+04
3830,1.11E+04
4000,1.51E+04
4500,4.11E+04
4660,4.68E+04
4800,4.31E+04
5000,3.08E+04
5260,2.29E+04
5500,2.76E+04
5800,6.99E+04
6000,2.14E+05
6050,2.33E+05
6400,8.52E+04
6500,7.94E+04
7000,6.18E+04
7500,5.79E+04
8000,5.66E+04
8500,5.57E+04
9000,5.66E+04
9500,5.79E+04
10000,6.68E+04
10500,8.26E+04
11000,1.17E+05
11500,1.67E+05
12000,2.19E+05
12500,2.45E+05
13000,2.82E+05
13500,2.98E+05
14000,3.22E+05
15000,3.60E+05
16000,3.21E+05
17500,2.84E+05
18000,2.75E+05
20000,2.45E+05
25000,1.88E+05
30000,1.41E+05
35000,1.21E+05
40000,1.19E+05
42000,1.21E+05
50000,1.30E+05
60000,1.25E+05
75000,9.39E+04
83000,8.00E+04
100000,6.65E+04
117000,5.40E+04
150000,4.12E+04
200000,3.26E+04
