wave,blue
350,0.036559696
351,0.036310686
352,0.036059139
353,0.035804995
354,0.035548189
355,0.035288657
356,0.035026328
357,0.034761132
358,0.034492995
359,0.03422184
360,0.033947585
361,0.033670148
362,0.033389439
363,0.033105369
364,0.032817842
365,0.032526757
366,0.032232011
367,0.031933494
368,0.031631091
369,0.031324683
370,0.031014143
371,0.030699339
372,0.030380132
373,0.030056376
374,0.029727915
375,0.029394589
376,0.029056224
377,0.02871264
378,0.028363644
379,0.028009035
380,0.027648595
381,0.027282097
382,0.026909298
383,0.026529939
384,0.026143744
385,0.025750418
386,0.025349646
387,0.024941092
388,0.024524393
389,0.024099159
390,0.023664972
391,0.023221379
392,0.022767889
393,0.022303973
394,0.021829053
395,0.021342501
396,0.020843628
397,0.020331681
398,0.019805831
399,0.019265166
400,0.018708671
401,0.018481394
402,0.018251327
403,0.018018391
404,0.017782499
405,0.017543564
406,0.017301491
407,0.017056184
408,0.016807539
409,0.016555448
410,0.016299798
411,0.016040469
412,0.015777336
413,0.015510265
414,0.015239116
415,0.014963742
416,0.014683984
417,0.014399678
418,0.014110645
419,0.013816699
420,0.013517641
421,0.013213258
422,0.012903323
423,0.012587594
424,0.012265812
425,0.011937699
426,0.011602957
427,0.011261264
428,0.010912275
429,0.010555614
430,0.010190876
431,0.009817621
432,0.009435371
433,0.009043602
434,0.008641743
435,0.008229165
436,0.007805176
437,0.007369013
438,0.006919825
439,0.00645667
440,0.005978487
441,0.00548409
442,0.004972132
443,0.004441088
444,0.003889207
445,0.003314478
446,0.002714563
447,0.002086725
448,0.001427731
449,0.000733715
450,0
451,4.71E-05
452,9.41E-05
453,0.000140843
454,0.000187443
455,0.000233873
456,0.000280133
457,0.000326225
458,0.00037215
459,0.00041791
460,0.000463506
461,0.00050894
462,0.000554212
463,0.000599324
464,0.000644278
465,0.000689075
466,0.000733715
467,0.000778201
468,0.000822533
469,0.000866713
470,0.000910742
471,0.000954621
472,0.000998352
473,0.001041935
474,0.001085372
475,0.001128663
476,0.001171811
477,0.001214815
478,0.001257678
479,0.0013004
480,0.001342982
481,0.001385425
482,0.001427731
483,0.001469901
484,0.001511935
485,0.001553834
486,0.0015956
487,0.001637233
488,0.001678735
489,0.001720106
490,0.001761348
491,0.001802461
492,0.001843446
493,0.001884304
494,0.001925037
495,0.001965644
496,0.002006128
497,0.002046488
498,0.002086725
499,0.002126842
500,0.002166837
501,0.00224647
502,0.00232563
503,0.002404323
504,0.002482557
505,0.002560338
506,0.002637671
507,0.002714563
508,0.002791019
509,0.002867045
510,0.002942646
511,0.003017829
512,0.003092599
513,0.00316696
514,0.003240918
515,0.003314478
516,0.003387645
517,0.003460424
